CMD, D, D, D, D, TLAST, TKEEP, TIME_NS
DATA:1, -8.601492047e-01, 2.444349043e-02, 2.038945198e+00, 2.122822404e-01, 0, -1, 4656
DATA:1, -8.978191614e-01, -7.390983403e-02, 2.197673559e+00, 4.466609359e-01, 0, -1, 4659.2
DATA:1, -9.024125338e-01, -1.917453706e-01, 2.783751726e+00, 6.611120105e-01, 0, -1, 4665.6
DATA:1, -8.132507801e-01, -2.901707888e-01, 2.240346670e+00, 8.415316343e-01, 0, -1, 4672
DATA:1, -7.034001350e-01, -4.382343292e-01, 1.988438129e+00, 9.496113062e-01, 0, -1, 4678.4
DATA:1, -6.845661998e-01, -5.157356858e-01, 2.166359901e+00, 1.006200075e+00, 0, -1, 4681.6
DATA:1, -5.516705513e-01, -6.109999418e-01, 1.561444879e+00, 1.010226607e+00, 0, -1, 4688
DATA:1, -4.943861067e-01, -7.129720449e-01, 1.840310335e+00, 9.456866384e-01, 0, -1, 4694.4
DATA:1, -5.754886866e-01, -7.303506136e-01, 1.651184082e+00, 8.341869116e-01, 0, -1, 4700.8
DATA:1, -4.911114275e-01, -7.738302350e-01, 1.154053569e+00, 6.722991467e-01, 0, -1, 4704
DATA:1, -4.716190398e-01, -7.914027572e-01, 1.078832507e+00, 4.675878882e-01, 0, -1, 4710.4
DATA:1, -4.933587611e-01, -7.895004749e-01, 6.440318823e-01, 2.307013720e-01, 0, -1, 4716.8
DATA:1, -3.950477839e-01, -8.213315010e-01, 1.009152532e+00, -3.187358379e-03, 0, -1, 4723.2
DATA:1, -3.317900896e-01, -8.264268637e-01, 8.053246140e-01, -2.272349447e-01, 0, -1, 4726.4
DATA:1, -3.560857773e-01, -8.374253511e-01, 4.621659517e-01, -4.539675117e-01, 0, -1, 4732.8
DATA:1, -3.021083772e-01, -7.563692331e-01, 8.108273745e-01, -6.351287365e-01, 0, -1, 4739.2
DATA:1, -2.769722939e-01, -7.154631019e-01, 5.174626112e-01, -7.832594514e-01, 0, -1, 4745.6
DATA:1, -2.167799473e-01, -6.301800013e-01, 9.664648771e-01, -8.823388815e-01, 0, -1, 4748.8
DATA:1, -6.113161892e-02, -5.084937215e-01, 1.329833746e+00, -9.171213508e-01, 0, -1, 4755.2
DATA:1, -4.762235284e-02, -4.426437318e-01, 9.567270279e-01, -8.801606894e-01, 0, -1, 4761.6
DATA:1, 5.984286964e-02, -2.915596366e-01, 1.153815031e+00, -8.016505241e-01, 0, -1, 4768
DATA:1, 6.182302162e-02, -1.861292571e-01, 8.187243342e-01, -6.525833607e-01, 0, -1, 4771.2
DATA:1, 1.226456463e-01, -7.870553434e-02, 1.066973448e+00, -4.705317914e-01, 0, -1, 4777.6
DATA:1, 1.827227920e-01, 2.254796401e-02, 1.165262580e+00, -2.719583213e-01, 0, -1, 4784
DATA:1, 2.082282305e-01, 1.237633675e-01, 9.185677171e-01, -3.316530585e-02, 0, -1, 4790.4
DATA:1, 2.524647713e-01, 2.333436012e-01, 1.364034772e+00, 2.143428475e-01, 0, -1, 4793.6
DATA:1, 2.679418921e-01, 3.363719285e-01, 1.867017984e+00, 4.507049918e-01, 0, -1, 4800
DATA:1, 4.119495451e-01, 4.699414968e-01, 2.362741470e+00, 6.722735167e-01, 0, -1, 4806.4
DATA:1, 4.688722193e-01, 5.614253879e-01, 2.587401628e+00, 8.391573429e-01, 0, -1, 4812.8
DATA:1, 6.005940437e-01, 6.809297204e-01, 2.399884939e+00, 9.443767071e-01, 0, -1, 4816
DATA:1, 6.464552283e-01, 7.946911454e-01, 2.325587273e+00, 1.012162447e+00, 0, -1, 4822.4
DATA:1, 6.784991026e-01, 8.897386789e-01, 2.290589809e+00, 1.019187570e+00, 0, -1, 4828.8
DATA:1, 7.692983747e-01, 9.950786829e-01, 2.817388535e+00, 9.721881151e-01, 0, -1, 4835.2
DATA:1, 7.801061869e-01, 1.013120651e+00, 3.046322346e+00, 8.665916920e-01, 0, -1, 4838.4
DATA:1, 8.777602911e-01, 1.016361833e+00, 2.624289989e+00, 7.039402127e-01, 0, -1, 4844.8
DATA:1, 9.432079196e-01, 1.055786490e+00, 2.238993406e+00, 4.851991534e-01, 0, -1, 4851.2
DATA:1, 1.033115387e+00, 1.089823246e+00, 1.483847380e+00, 2.497499734e-01, 0, -1, 4857.6
DATA:1, 1.105765104e+00, 1.141458273e+00, 1.797854066e+00, -9.330853820e-03, 0, -1, 4860.8
DATA:1, 1.140749216e+00, 1.129346371e+00, 1.962468982e+00, -2.638696134e-01, 0, -1, 4867.2
DATA:1, 1.102009296e+00, 1.077157974e+00, 1.829789519e+00, -4.807881117e-01, 0, -1, 4873.6
DATA:1, 1.129903793e+00, 1.014712453e+00, 1.992729783e+00, -6.561293602e-01, 0, -1, 4880
DATA:1, 1.175641656e+00, 9.607906938e-01, 1.734775066e+00, -7.780737281e-01, 0, -1, 4883.2
DATA:1, 1.171602607e+00, 9.317269325e-01, 1.027111053e+00, -8.669312596e-01, 0, -1, 4889.6
DATA:1, 1.316601753e+00, 8.974220753e-01, 1.458703518e+00, -8.876993656e-01, 0, -1, 4896
DATA:1, 1.245444298e+00, 8.049498200e-01, 9.772273898e-01, -8.792709708e-01, 0, -1, 4902.4
DATA:1, 1.221980095e+00, 6.858619452e-01, 8.436315060e-01, -8.117119074e-01, 0, -1, 4905.6
DATA:1, 1.199823141e+00, 5.964074135e-01, 1.461333752e+00, -6.653922796e-01, 0, -1, 4912
DATA:1, 1.177751064e+00, 4.374289513e-01, 7.284991741e-01, -4.859551787e-01, 0, -1, 4918.4
DATA:1, 1.283160686e+00, 3.111066520e-01, 1.012619019e+00, -2.508344352e-01, 0, -1, 4924.8
DATA:1, 1.262241721e+00, 1.754510701e-01, 8.141145706e-01, -7.010117173e-03, 0, -1, 4928
DATA:1, 1.243402958e+00, 4.216610268e-02, 6.573733091e-01, 2.387427837e-01, 0, -1, 4934.4
DATA:1, 1.220037103e+00, -8.345022798e-02, 1.384475231e+00, 4.552150965e-01, 0, -1, 4940.8
DATA:1, 1.207247972e+00, -2.279981077e-01, 1.537306547e+00, 6.584032774e-01, 0, -1, 4947.2
DATA:1, 1.265595794e+00, -3.411667347e-01, 1.187574744e+00, 8.249636292e-01, 0, -1, 4950.4
DATA:1, 1.285434008e+00, -4.592099786e-01, 7.841548920e-01, 9.318125248e-01, 0, -1, 4956.8
DATA:1, 1.286232710e+00, -5.276965499e-01, 4.399642944e-01, 1.013860226e+00, 0, -1, 4963.2
DATA:1, 1.280279517e+00, -6.040209532e-01, 6.502140164e-01, 1.015006781e+00, 0, -1, 4969.6
DATA:1, 1.183929443e+00, -6.757360697e-01, 7.418857217e-01, 9.532739520e-01, 0, -1, 4972.8
DATA:1, 1.141132712e+00, -7.551608086e-01, 1.127257347e+00, 8.490860462e-01, 0, -1, 4979.2
DATA:1, 1.076211929e+00, -8.281077743e-01, 1.375883818e+00, 6.808587909e-01, 0, -1, 4985.6
DATA:1, 9.615234137e-01, -8.581963181e-01, 1.065752506e+00, 4.744348228e-01, 0, -1, 4992
DATA:1, 9.905547500e-01, -8.895385265e-01, 1.223708749e+00, 2.544893622e-01, 0, -1, 4995.2
DATA:1, 1.036939263e+00, -8.764711618e-01, 1.540857553e+00, 8.062958717e-03, 0, -1, 5001.6
DATA:1, 1.017325759e+00, -8.459061980e-01, 2.119582176e+00, -2.373664379e-01, 0, -1, 5008
DATA:1, 9.630202651e-01, -7.864325047e-01, 2.865029335e+00, -4.594717324e-01, 0, -1, 5014.4
DATA:1, 8.852775097e-01, -7.148480415e-01, 3.607136250e+00, -6.589605212e-01, 0, -1, 5017.6
